name,slottime,slottype,slotavg,pointTitle
"BalchHall.Elec.PowerScout3/kWsystem","2015-01-01 00:00:00","D",58.426041666,"Electric"
"BalchHall.STM.M22-V/AverageMassFlow","2015-01-01 00:00:00","D",2034.55390625,"Steam"
"BalchHall.Elec.PowerScout3/kWsystem","2015-01-02 00:00:00","D",57.848958333,"Electric"
"BalchHall.STM.M22-V/AverageMassFlow","2015-01-02 00:00:00","D",1845.854385416,"Steam"
"BalchHall.Elec.PowerScout3/kWsystem","2015-01-03 00:00:00","D",57.738541666,"Electric"
"BalchHall.STM.M22-V/AverageMassFlow","2015-01-03 00:00:00","D",1930.337979166,"Steam"
"BalchHall.Elec.PowerScout3/kWsystem","2015-01-04 00:00:00","D",57.326041666,"Electric"
"BalchHall.STM.M22-V/AverageMassFlow","2015-01-04 00:00:00","D",1554.307510416,"Steam"
"BalchHall.Elec.PowerScout3/kWsystem","2015-01-05 00:00:00","D",67.752083333,"Electric"
"BalchHall.STM.M22-V/AverageMassFlow","2015-01-05 00:00:00","D",2228.408854166,"Steam"
"BalchHall.Elec.PowerScout3/kWsystem","2015-01-06 00:00:00","D",67.251578947,"Electric"
"BalchHall.STM.M22-V/AverageMassFlow","2015-01-06 00:00:00","D",2706.592729166,"Steam"
"BalchHall.Elec.PowerScout3/kWsystem","2015-01-07 00:00:00","D",68.987058823,"Electric"
"BalchHall.STM.M22-V/AverageMassFlow","2015-01-07 00:00:00","D",2801.394402173,"Steam"
"BalchHall.Elec.PowerScout3/kWsystem","2015-01-08 00:00:00","D",68.122916666,"Electric"
"BalchHall.STM.M22-V/AverageMassFlow","2015-01-08 00:00:00","D",2630.985854166,"Steam"
"BalchHall.Elec.PowerScout3/kWsystem","2015-01-09 00:00:00","D",68.719791666,"Electric"
"BalchHall.STM.M22-V/AverageMassFlow","2015-01-09 00:00:00","D",2832.616145833,"Steam"
"BalchHall.Elec.PowerScout3/kWsystem","2015-01-10 00:00:00","D",59.166666666,"Electric"
"BalchHall.STM.M22-V/AverageMassFlow","2015-01-10 00:00:00","D",2663.787135416,"Steam"
"BalchHall.Elec.PowerScout3/kWsystem","2015-01-11 00:00:00","D",58.597916666,"Electric"
"BalchHall.STM.M22-V/AverageMassFlow","2015-01-11 00:00:00","D",2526.526427083,"Steam"
"BalchHall.Elec.PowerScout3/kWsystem","2015-01-12 00:00:00","D",67.398958333,"Electric"
"BalchHall.STM.M22-V/AverageMassFlow","2015-01-12 00:00:00","D",2197.679885416,"Steam"
"BalchHall.Elec.PowerScout3/kWsystem","2015-01-13 00:00:00","D",72.363541666,"Electric"
"BalchHall.STM.M22-V/AverageMassFlow","2015-01-13 00:00:00","D",2639.2410625,"Steam"
"BalchHall.Elec.PowerScout3/kWsystem","2015-01-14 00:00:00","D",76.907291666,"Electric"
"BalchHall.STM.M22-V/AverageMassFlow","2015-01-14 00:00:00","D",2720.211083333,"Steam"
"BalchHall.Elec.PowerScout3/kWsystem","2015-01-15 00:00:00","D",80.68125,"Electric"
"BalchHall.STM.M22-V/AverageMassFlow","2015-01-15 00:00:00","D",2611.875145833,"Steam"
"BalchHall.Elec.PowerScout3/kWsystem","2015-01-16 00:00:00","D",81.747916666,"Electric"
"BalchHall.STM.M22-V/AverageMassFlow","2015-01-16 00:00:00","D",2419.599854166,"Steam"
"BalchHall.Elec.PowerScout3/kWsystem","2015-01-17 00:00:00","D",75.026041666,"Electric"
"BalchHall.STM.M22-V/AverageMassFlow","2015-01-17 00:00:00","D",2679.057572916,"Steam"
"BalchHall.Elec.PowerScout3/kWsystem","2015-01-18 00:00:00","D",78.095833333,"Electric"
