name,slottime,slottype,slotavg,pointTitle
"WilliamKeetonHouse.Elec.PowerScout3/kWsystem","2015-01-01 00:00:00","D",64.670833333,"Electric"
"WilliamKeetonHouse.HW.FP/TONS","2015-01-01 00:00:00","D",1297810.65625,"Building Heat"
"WilliamKeetonHouse.Elec.PowerScout3/kWsystem","2015-01-02 00:00:00","D",64.492708333,"Electric"
"WilliamKeetonHouse.HW.FP/TONS","2015-01-02 00:00:00","D",1090334.75,"Building Heat"
"WilliamKeetonHouse.Elec.PowerScout3/kWsystem","2015-01-03 00:00:00","D",63.51875,"Electric"
"WilliamKeetonHouse.HW.FP/TONS","2015-01-03 00:00:00","D",1181726.614583333,"Building Heat"
"WilliamKeetonHouse.Elec.PowerScout3/kWsystem","2015-01-04 00:00:00","D",62.672916666,"Electric"
"WilliamKeetonHouse.HW.FP/TONS","2015-01-04 00:00:00","D",686985.208333333,"Building Heat"
"WilliamKeetonHouse.Elec.PowerScout3/kWsystem","2015-01-05 00:00:00","D",69.54375,"Electric"
"WilliamKeetonHouse.HW.FP/TONS","2015-01-05 00:00:00","D",1160119.802083333,"Building Heat"
"WilliamKeetonHouse.Elec.PowerScout3/kWsystem","2015-01-06 00:00:00","D",80.985416666,"Electric"
"WilliamKeetonHouse.HW.FP/TONS","2015-01-06 00:00:00","D",1557671.5625,"Building Heat"
"WilliamKeetonHouse.Elec.PowerScout3/kWsystem","2015-01-07 00:00:00","D",83.24375,"Electric"
"WilliamKeetonHouse.HW.FP/TONS","2015-01-07 00:00:00","D",1675046.354166666,"Building Heat"
"WilliamKeetonHouse.Elec.PowerScout3/kWsystem","2015-01-08 00:00:00","D",84.826041666,"Electric"
"WilliamKeetonHouse.HW.FP/TONS","2015-01-08 00:00:00","D",1909248.229166666,"Building Heat"
"WilliamKeetonHouse.Elec.PowerScout3/kWsystem","2015-01-09 00:00:00","D",84.519791666,"Electric"
"WilliamKeetonHouse.HW.FP/TONS","2015-01-09 00:00:00","D",1578985.208333333,"Building Heat"
"WilliamKeetonHouse.Elec.PowerScout3/kWsystem","2015-01-10 00:00:00","D",84.445833333,"Electric"
"WilliamKeetonHouse.HW.FP/TONS","2015-01-10 00:00:00","D",1646649.375,"Building Heat"
"WilliamKeetonHouse.Elec.PowerScout3/kWsystem","2015-01-11 00:00:00","D",86.229166666,"Electric"
"WilliamKeetonHouse.HW.FP/TONS","2015-01-11 00:00:00","D",1533051.354166666,"Building Heat"
"WilliamKeetonHouse.Elec.PowerScout3/kWsystem","2015-01-12 00:00:00","D",84.588541666,"Electric"
"WilliamKeetonHouse.HW.FP/TONS","2015-01-12 00:00:00","D",1151647.114583333,"Building Heat"
